raceId,driverId,lap,position,time,milliseconds
989,807,34,7,1:29.151,89151
989,807,33,7,1:29.359,89359
989,807,32,7,1:31.013,91013
989,807,31,7,2:10.750,130750
989,807,30,7,1:57.860,117860
989,807,29,7,1:44.227,104227
989,807,28,7,2:04.019,124019
989,807,27,7,2:04.016,124016
989,807,26,7,2:03.375,123375
989,807,25,8,1:43.870,103870
989,807,24,10,1:48.142,108142
989,807,23,6,1:29.799,89799
989,807,22,6,1:30.066,90066
989,807,21,7,1:29.833,89833
989,807,20,7,1:29.802,89802
989,807,19,7,1:30.007,90007
989,807,18,7,1:29.924,89924
989,807,17,7,1:30.092,90092
989,807,16,7,1:29.961,89961
989,807,15,7,1:30.490,90490
989,807,14,7,1:29.846,89846
989,807,13,7,1:30.126,90126
989,807,12,7,1:30.073,90073
989,807,11,7,1:29.947,89947
989,807,10,7,1:30.769,90769
989,807,9,8,1:29.970,89970
989,807,8,8,1:30.369,90369
989,807,7,8,1:30.514,90514
989,807,6,8,1:31.321,91321
989,807,5,8,1:32.858,92858
989,807,4,7,1:30.847,90847
989,807,3,7,1:31.081,91081
989,807,2,7,1:31.310,91310
989,807,1,7,1:39.077,99077
989,154,24,7,1:49.039,109039
989,154,23,4,1:28.805,88805
989,154,22,4,1:29.834,89834
989,154,21,5,1:29.613,89613
989,154,20,5,1:29.926,89926
989,154,19,5,1:30.274,90274
989,154,18,5,1:30.167,90167
989,154,17,5,1:29.913,89913
989,154,16,5,1:30.026,90026
989,154,15,5,1:30.250,90250
989,154,14,5,1:29.908,89908
989,154,13,5,1:29.713,89713
989,154,12,5,1:29.902,89902
989,154,11,5,1:29.628,89628
989,154,10,5,1:31.253,91253
989,154,9,6,1:29.914,89914
989,154,8,6,1:30.289,90289
989,154,7,6,1:30.898,90898
989,154,6,6,1:31.430,91430
989,154,5,6,1:30.694,90694
989,154,4,6,1:30.769,90769
989,154,3,6,1:31.150,91150
989,154,2,6,1:31.033,91033
989,154,1,6,1:38.450,98450
989,830,58,6,1:27.646,87646
989,830,57,6,1:27.042,87042
989,830,56,6,1:27.062,87062
989,830,55,6,1:27.148,87148
989,830,54,6,1:26.880,86880
989,830,53,6,1:27.834,87834
989,830,52,6,1:27.403,87403
989,830,51,6,1:27.396,87396
989,830,50,6,1:27.635,87635
989,830,49,6,1:28.045,88045
989,830,48,6,1:28.352,88352
989,830,47,6,1:28.006,88006
989,830,46,6,1:28.482,88482
989,830,45,6,1:28.124,88124
989,830,44,6,1:27.980,87980
989,830,43,6,1:28.029,88029
989,830,42,6,1:28.015,88015
989,830,41,6,1:28.048,88048
989,830,40,6,1:28.244,88244
989,830,39,6,1:28.288,88288
989,830,38,6,1:28.210,88210
989,830,37,6,1:28.760,88760
989,830,36,6,1:28.315,88315
989,830,35,6,1:28.564,88564
989,830,34,6,1:29.221,89221
989,830,33,6,1:28.940,88940
989,830,32,6,1:30.266,90266
989,830,31,6,2:14.396,134396
989,830,30,5,1:58.528,118528
989,830,29,5,1:48.521,108521
989,830,28,5,2:03.267,123267
989,830,27,5,2:05.786,125786
989,830,26,6,2:01.221,121221
989,830,25,6,1:36.424,96424
989,830,24,9,1:27.955,87955
989,830,23,11,1:28.436,88436
989,830,22,13,1:33.466,93466
989,830,21,13,1:46.361,106361
989,830,20,8,1:29.941,89941
989,830,19,8,1:30.169,90169
989,830,18,8,1:30.015,90015
989,830,17,8,1:30.141,90141
989,830,16,8,1:29.988,89988
989,830,15,8,1:30.095,90095
989,830,14,8,1:29.650,89650
989,830,13,8,1:29.917,89917
989,830,12,8,1:30.074,90074
989,830,11,8,1:30.207,90207
989,830,10,8,1:36.502,96502
989,830,9,5,1:30.444,90444
989,830,8,5,1:30.251,90251
989,830,7,5,1:30.460,90460
989,830,6,5,1:31.259,91259
989,830,5,5,1:30.477,90477
989,830,4,5,1:30.812,90812
989,830,3,5,1:30.904,90904
989,830,2,5,1:30.942,90942
989,830,1,5,1:37.684,97684
989,825,22,9,1:47.390,107390
989,825,21,4,1:29.534,89534
989,825,20,4,1:29.820,89820
989,825,19,4,1:30.391,90391
989,825,18,4,1:30.042,90042
989,825,17,4,1:30.446,90446
989,825,16,4,1:29.852,89852
989,825,15,4,1:30.104,90104
989,825,14,4,1:30.118,90118
989,825,13,4,1:30.115,90115
989,825,12,4,1:30.050,90050
989,825,11,4,1:30.500,90500
989,825,10,4,1:30.610,90610
989,825,9,4,1:30.445,90445
989,825,8,4,1:30.252,90252
989,825,7,4,1:30.577,90577
989,825,6,4,1:30.984,90984
989,825,5,4,1:30.518,90518
989,825,4,4,1:30.547,90547
989,825,3,4,1:31.235,91235
989,825,2,4,1:30.830,90830
989,825,1,4,1:37.107,97107
989,20,58,1,1:28.863,88863
989,20,57,1,1:26.990,86990
989,20,56,1,1:27.236,87236
989,20,55,1,1:26.983,86983
989,20,54,1,1:26.711,86711
989,20,53,1,1:26.469,86469
989,20,52,1,1:26.968,86968
989,20,51,1,1:26.604,86604
989,20,50,1,1:26.804,86804
989,20,49,1,1:27.084,87084
989,20,48,1,1:27.237,87237
989,20,47,1,1:26.997,86997
989,20,46,1,1:26.766,86766
989,20,45,1,1:26.785,86785
989,20,44,1,1:27.081,87081
989,20,43,1,1:26.872,86872
989,20,42,1,1:27.022,87022
989,20,41,1,1:26.946,86946
989,20,40,1,1:26.909,86909
989,20,39,1,1:26.947,86947
989,20,38,1,1:27.309,87309
989,20,37,1,1:27.175,87175
989,20,36,1,1:27.123,87123
989,20,35,1,1:27.100,87100
989,20,34,1,1:27.559,87559
989,20,33,1,1:27.889,87889
989,20,32,1,1:27.998,87998
989,20,31,1,2:18.857,138857
989,20,30,1,2:16.470,136470
989,20,29,1,2:13.109,133109
989,20,28,1,2:03.248,123248
989,20,27,1,2:09.347,129347
989,20,26,1,2:05.108,125108
989,20,25,1,1:28.787,88787
989,20,24,1,1:29.030,89030
989,20,23,1,1:28.954,88954
989,20,22,1,1:28.515,88515
989,20,21,1,1:28.561,88561
989,20,20,1,1:28.245,88245
989,20,19,1,1:28.488,88488
989,20,18,2,1:28.534,88534
989,20,17,3,1:28.596,88596
989,20,16,3,1:28.704,88704
989,20,15,3,1:28.685,88685
989,20,14,3,1:28.801,88801
989,20,13,3,1:29.109,89109
989,20,12,3,1:28.405,88405
989,20,11,3,1:29.025,89025
989,20,10,3,1:28.665,88665
989,20,9,3,1:29.375,89375
989,20,8,3,1:29.481,89481
989,20,7,3,1:30.177,90177
989,20,6,3,1:30.497,90497
989,20,5,3,1:29.540,89540
